Date; Time; Latitude; Longitude; Altitude; Satellites; HDOP; PDOP; Temperature;Speed; TTFF; SNR; tbd
05/28/2018; 02:13:30;16.3202533;-89.3276933;732;7;1;1.4;33;;16;0;0
05/28/2018; 02:28:41;16.3203017;-89.3277483;676;6;1.2;1.5;33;;10;0;0
05/28/2018; 02:43:48;16.320345;-89.3276667;670;6;1.3;1.6;33;;6;0;0
05/28/2018; 02:58:56;16.320275;-89.327745;662;7;1;1.3;30;;6;0;0
05/28/2018; 03:14:11;16.3205283;-89.327675;654;6;1.6;1.8;29;;14;0;0
05/28/2018; 03:29:25;16.3209267;-89.3271717;630;7;1;1.3;28;;13;0;0
05/28/2018; 03:44:36;16.320095;-89.3280333;656;6;1.5;1.7;30;;10;0;0
05/28/2018; 03:59:42;16.3202167;-89.3278833;668;6;1.3;1.6;32;;5;0;0
05/28/2018; 04:15:18;16.3203317;-89.3277933;642;6;1.2;1.5;32;;35;0;0
05/28/2018; 04:30:42;16.3204467;-89.3279;734;6;1.2;1.5;30;;22;0;0
05/28/2018; 04:46:11;16.320235;-89.327705;552;6;1.2;1.5;29;;28;0;0
05/28/2018; 05:01:27;16.3202867;-89.327735;636;6;1;1.4;29;;15;0;0
05/28/2018; 05:17:16;16.3204583;-89.3278283;664;5;1.4;1.7;28;;48;0;0
05/28/2018; 05:32:31;16.320355;-89.3278467;686;6;1;1.4;28;;15;0;0
05/28/2018; 05:49:01; ; ; ; ; ; ; ;;;;
05/28/2018; 06:04:13;16.319955;-89.32732;576;6;1.5;1.8;30;;11;0;0
05/28/2018; 06:19:41;16.32036;-89.32789;676;7;1;1.3;29;;26;0;0
05/28/2018; 06:35:02;16.3199567;-89.3276017;666;6;2.6;2.7;28;;20;0;0
05/28/2018; 06:50:31;16.32023;-89.327775;672;5;1.6;1.8;28;;28;0;0
05/28/2018; 07:05:50;16.320275;-89.3279317;700;6;1.3;1.6;28;;18;0;0
05/28/2018; 07:21:02;16.3204917;-89.3277617;596;6;1.2;1.5;30;;11;0;0
05/28/2018; 07:36:13;16.3199817;-89.3279133;684;6;1.1;1.5;31;;10;0;0
05/28/2018; 07:51:26;16.32029;-89.3277633;644;6;1.1;1.5;32;;11;0;0
05/28/2018; 08:06:31;16.3200083;-89.3276917;614;6;1.2;1.5;30;;4;0;0
05/28/2018; 08:21:43;16.3202567;-89.327585;648;5;1.4;1.7;28;;11;0;0
